date,label,action,units,price,purchase_date,term,realized_gain,tax_due
2025-04-01,balanced_adv,SELL,1.0362675301190172,525.476,2023-01-01,LT,185.63903788058096,23.20487973507262
2025-04-01,flexi_cap,BUY,68.0558781791131,84.9643,2025-04-01,,0.0,0.0
2025-04-01,corp_bond,BUY,210.07210306074336,32.5415,2025-04-01,,0.0,0.0
2025-05-01,large_cap,SELL,48.71604559365604,116.91,2023-01-01,LT,2021.228731680789,0.0
2025-05-01,gold,SELL,145.67233502062908,29.1945,2023-01-01,LT,1740.3910881919621,217.54888602399527
2025-05-01,flexi_cap,BUY,19.300334078014597,87.4119,2025-05-01,,0.0,0.0
2025-05-01,small_cap,BUY,16.88748593916727,112.07,2025-05-01,,0.0,0.0
2025-05-01,corp_bond,BUY,172.0770824436119,33.0283,2025-05-01,,0.0,0.0
2025-05-01,balanced_adv,BUY,0.8628379149183213,541.935,2025-05-01,,0.0,0.0
2025-06-01,small_cap,SELL,84.96382275285174,120.02,2023-01-01,LT,4108.85046832791,0.0
2025-06-01,flexi_cap,SELL,2.940189983297041,89.7841,2023-01-01,LT,113.9361840997386,0.0
2025-06-01,large_cap,BUY,23.445431164596318,119.11,2025-06-01,,0.0,0.0
2025-06-01,corp_bond,BUY,135.54970262011196,33.4151,2025-06-01,,0.0,0.0
2025-06-01,balanced_adv,BUY,0.1372257702604342,555.871,2025-06-01,,0.0,0.0
2025-06-01,gold,BUY,104.28815704158485,29.3712,2025-06-01,,0.0,0.0
2025-07-01,small_cap,SELL,41.331847324884386,125.62,2023-01-01,LT,2230.2664816507618,0.0
2025-07-01,flexi_cap,SELL,26.016504588622684,92.6786,2023-01-01,LT,1083.4781467968626,0.0
2025-07-01,large_cap,SELL,14.945902621835776,122.59,2023-01-01,LT,704.9982266719936,0.0
2025-07-01,corp_bond,BUY,236.2097836635794,33.3924,2025-07-01,,0.0,0.0
2025-07-01,balanced_adv,BUY,1.3786788480315626,566.731,2025-07-01,,0.0,0.0
2025-07-01,gold,BUY,25.59608596619671,29.9478,2025-07-01,,0.0,0.0
2025-08-01,corp_bond,SELL,191.9490592374597,33.5995,2023-01-01,ST,1233.5222393776867,370.05667181330597
2025-08-01,gold,SELL,120.92862236932447,30.2137,2023-01-01,LT,1568.0209819518457,196.0026227439807
2025-08-01,large_cap,BUY,39.1246005210344,119.37,2025-08-01,,0.0,0.0
2025-08-01,flexi_cap,BUY,2.089699769485917,91.3302,2025-08-01,,0.0,0.0
2025-08-01,small_cap,BUY,25.160886237914664,122.17,2025-08-01,,0.0,0.0
2025-08-01,balanced_adv,BUY,2.8977040550515056,552.842,2025-08-01,,0.0,0.0
2025-09-01,gold,SELL,260.90923466408515,32.0086,2023-01-01,LT,3851.385576570427,481.4231970713034
2025-09-01,large_cap,SELL,8.565554470585775,120.55,2023-01-01,LT,386.563473257536,0.0
2025-09-01,flexi_cap,BUY,14.787514162301118,91.5207,2025-09-01,,0.0,0.0
2025-09-01,small_cap,BUY,27.2500946665194,121.27,2025-09-01,,0.0,0.0
2025-09-01,corp_bond,BUY,91.44547596197032,33.477,2025-09-01,,0.0,0.0
2025-09-01,balanced_adv,BUY,2.1417545736102537,552.44,2025-09-01,,0.0,0.0
2025-10-01,gold,SELL,473.8569903070842,36.0842,2023-01-01,LT,8926.044126414547,1115.7555158018183
2025-10-01,large_cap,BUY,38.64789741663939,121.42,2025-10-01,,0.0,0.0
2025-10-01,flexi_cap,BUY,31.047914414972887,92.4742,2025-10-01,,0.0,0.0
2025-10-01,small_cap,BUY,32.93194779039764,121.59,2025-10-01,,0.0,0.0
2025-10-01,corp_bond,BUY,107.7768222351085,33.7493,2025-10-01,,0.0,0.0
2025-10-01,balanced_adv,BUY,1.3868325147472562,560.737,2025-10-01,,0.0,0.0
